Point,Latitude,Longitude,Name
1,-8.1476852,112.5593683,PKBM SUMBER ILMU KEPANJEN
2,-8.1328952,112.5815871,SMA Islam Kepanjen
3,-8.127696499999999,112.5757888,Sekolah Luar Biasa BC Kepanjen
"4,-8.1307175,112.5834834,""Mushola & Madrasah """"Sabilul Huda"""""""
5,-8.1334103,112.573916,SMK Taman Siswa Kepanjen
6,-8.1379202,112.5807794,SMK UTAMA KEPANJEN
7,-8.139274499999999,112.5792423,YPAI Nurul Musthofa
8,-8.132934900000002,112.5811282,SekolahUlilAlbab
9,-8.1396534,112.580073,Sekolah Alam
11,-8.166877,112.562305,SD Negeri 2 Kemiri
12,-8.1668524,112.5770708,SD NEGERI 2 TEGALSARI
13,-8.165189999999999,112.57557,SD Negeri 1 Tegalsari
14,-8.1714465,112.5566305,SDN Kemiri 01
15,-8.1452225,112.5688557,SD Negeri 4 Panggungrejo
16,-8.150921199999999,112.5796153,SD Negeri 2 Kedung Pedaringan
17,-8.13588,112.567018,SD Negeri 7 Kepanjen
18,-8.1469367,112.5581509,SDN 03 Panggungrejo
19,-8.1335753,112.573343,SD Negeri Kepanjen 2
20,-8.133842399999999,112.5752011,SD Negeri 3 Kepanjen
21,-8.130462699999999,112.5661977,SMP Negeri 4 Kepanjen
22,-8.130514,112.573201,SMP Muhammadiyah 3 Kepanjen
23,-8.1332843,112.5709839,SMP Islam Kepanjen
24,-8.1209726,112.5753847,SMP Negri 1 Kepanjen
25,-8.1285685,112.5640217,SMP PGRI 1 Kepanjen
26,-8.1388837,112.5621404,SMPN 2 Kepanjen
27,-8.118517599999999,112.5949538,SMP Negeri 3 Kepanjen
28,-8.1702929,112.554012,SMP Negeri 5 Kepanjen
29,-8.110642499999999,112.5770088,SMA Nu Kepanjen
30,-8.1343524,112.5758321,SMA Wahidiyah Kepanjen
31,-8.1233337,112.5711649,SMA PGRI Kepanjen
32,-8.1328952,112.5815871,SMA Islam Kepanjen
33,-8.1246415,112.5723184,SMAN 1 KEPANJEN
35,-8.1426587,112.5857914,SMKN 1 Kepanjen
37,-8.1319154,112.5754452,SMK Muhammadiyah 1 Kepanjen
38,-8.1379202,112.5807794,SMK UTAMA KEPANJEN
39,-8.135704,112.586817,SMK Islam Kepanjen
40,-8.1284115,112.5631453,BUDI UTOMO VOCATIONAL HIGH SCHOOL
41,-8.1175872,112.5735833,SMK Industri Al Kaaffah
42,-8.0983023,112.5823857,Cendika Bangsa Vocational School
43,-8.098327,112.582447,Universitas Islam Raden Rahmat
